detail_url,price,predicted_price,value_score,kilometers,age_in_years,horsepower,fuel_type,deal_category
https://www.autoscout24.com/offers/peugeot-208-1-2-vti-blue-lease-navigatie-cruise-control-airco-gasoline-black-8df7589f-24a8-49e2-9799-e6d6301a0f22?sort=standard&desc=0&lastSeenGuidPresent=false&position=1&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,2940,5962.14,50.688846622186,238263,12.58,82,Gasoline,Excellent Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-style-dealer-onderhouden-navi-airco-c-gasoline-grey-043067cc-84b4-423d-9ad9-684ad27b91fa?sort=standard&desc=0&lastSeenGuidPresent=false&position=10&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,7243,9275.79,21.91500670023794,61197,10.83,82,Gasoline,Excellent Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-luxe-nap-onderhouden-airco-lm-velgen-bovag-erk-gasoline-white-b4b99c5e-32a6-4192-b8f4-5a781e4274ae?sort=standard&desc=0&lastSeenGuidPresent=false&position=9&search_id=yon2xdqqgm&source_otp=t30&ap_tier=t30&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t30&boost_level=t30,5995,7655.72,21.692538389596276,99705,9.58,82,Gasoline,Excellent Deal
https://www.autoscout24.com/offers/peugeot-208-1-0-vti-access-gasoline-blue-538a8eac-a150-4f54-ba93-6605c7da5215?sort=standard&desc=0&lastSeenGuidPresent=true&position=23&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,4750,5768.24,17.652524860269335,119241,12.58,68,Gasoline,Excellent Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-like-airco-n-a-p-5-deurs-dealer-onder-gasoline-grey-43f1f7ae-df2c-4202-9f7f-e89292f76dbd?sort=standard&desc=0&lastSeenGuidPresent=false&position=5&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,6943,7914.12,12.27072624625353,89021,7.08,68,Gasoline,Good Deal
https://www.autoscout24.com/offers/peugeot-208-1-4-vti-allure-airco-ecc-alu-wielen-spoiler-gasoline-grey-82b08ab1-bd1b-4735-a6ea-f571e015c86f?sort=standard&desc=0&lastSeenGuidPresent=false&position=17&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,5400,5958.26,9.369513918492986,164798,13.5,97,Gasoline,Good Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-gt-line-camera-navi-gasoline-grey-5a53b3c6-b96e-4a2b-b3c7-f48aed0baf4b?sort=standard&desc=0&lastSeenGuidPresent=false&position=13&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,8450,9275.77,8.902441522374966,67648,9.0,111,Gasoline,Good Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-premiere-navi-pano-cruisectrl-camera-gasoline-black-4cfe8f5d-60cb-45a8-9509-cea943dc3fb5?sort=standard&desc=0&lastSeenGuidPresent=false&position=2&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,8749,9585.54,8.727103533029968,65905,9.83,110,Gasoline,Good Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-like-airco-cruise-control-gasoline-white-4570002b-25e7-4146-8ba3-e79ee6e13ac8?sort=standard&desc=0&lastSeenGuidPresent=false&position=20&search_id=yon2xdqqgm&source_otp=t30&ap_tier=t30&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t30&boost_level=t30,10950,11750.49,6.812396759624491,63747,3.75,75,Gasoline,Good Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-active-nw-model-airco-navigatie-5-drs-gasoline-grey-29b7ff68-540f-408c-a54b-4cf7437b64bb?sort=standard&desc=0&lastSeenGuidPresent=false&position=16&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,11450,11958.91,4.255488167399871,95778,4.92,75,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-deluxe-apple-carplay-groot-navi-ge-gasoline-grey-034b77b6-fed6-4c7b-8f98-bcd9704b113b?sort=standard&desc=0&lastSeenGuidPresent=true&position=21&search_id=yon2xdqqgm&source_otp=t30&ap_tier=t30&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t30&boost_level=t30,12945,13509.2,4.176413111065057,72850,2.83,75,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-blue-lease-allure-lm-carplay-navi-cru-gasoline-white-9f58c1ad-df4b-4c8b-9eb0-e33226dca893?sort=standard&desc=0&lastSeenGuidPresent=false&position=18&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,11500,11930.92,3.6117918819336654,123808,4.17,75,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-puretech-100-active-carplay-android-auto-bluet-gasoline-yellow-a52b28fc-172f-44f0-a637-1d541bb88d8b?sort=standard&desc=0&lastSeenGuidPresent=false&position=19&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,16495,17099.78,3.536770648511261,4430,1.5,101,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-100-allure-pack-cruise-carplay-gasoline-grey-f7418382-ae04-4cab-bfaa-3aceb7102993?sort=standard&desc=0&lastSeenGuidPresent=true&position=22&search_id=yon2xdqqgm&source_otp=t30&ap_tier=t30&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t30&boost_level=t30,17250,17623.21,2.117718622203328,8027,1.83,101,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-active-pack-clima-navi-cruise-elk-gasoline-white-65ad7ab0-3ff9-445b-af99-3922f5af9aff?sort=standard&desc=0&lastSeenGuidPresent=false&position=6&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,11750,11991.35,2.0127008218424147,91307,3.83,75,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-blue-lion-cruise-control-parkeerse-gasoline-grey-66e3decb-bce8-4f8a-91be-1c904550da2b?sort=standard&desc=0&lastSeenGuidPresent=false&position=14&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,7445,7586.12,1.860239490015975,98006,8.08,82,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-allure-carplay-clima-cruise-led-gasoline-white-c123fbd2-89a8-422f-a980-ca0155f1e0ea?sort=standard&desc=0&lastSeenGuidPresent=false&position=8&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,9910,9986.78,0.7688163752480844,56113,7.33,82,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-active-nw-model-airco-navigatie-5-drs-gasoline-black-d6c03cdf-1262-4da5-a965-3652ab41bd7b?sort=standard&desc=0&lastSeenGuidPresent=false&position=3&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,11450,11524.42,0.6457591792038131,62493,5.67,75,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-blue-lease-allure-navi-carplay-di-gasoline-black-066de258-dc26-487f-94f4-b0c28856ae38?sort=standard&desc=0&lastSeenGuidPresent=false&position=12&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,13495,13225.77,-2.035647073856566,72900,4.08,101,Gasoline,Fair Deal
https://www.autoscout24.com/offers/peugeot-208-1-2-puretech-130-gt-metalic-carplay-9dkm-gasoline-yellow-1a142d2a-e190-4637-9cd2-799eb1d2abe4?sort=standard&desc=0&lastSeenGuidPresent=false&position=4&search_id=yon2xdqqgm&source_otp=t50&ap_tier=t50&source=listpage_search-results&order_bucket=unknown&boosting_product=mia&relevance_adjustment=boost&applied_boost_level=t50&boost_level=t50,19899,19311.51,-3.042175365882842,9756,1.67,131,Gasoline,Fair Deal
